Country Code;Country Label;City;Location;Coordinates;Pollutant;Value;Unit;Last Updated;Source Name
;;;;36.57268,-121.80505;;10.09;;2024-07-25T22:02:04Z;
;;;;49.1818,-2.09783;;20.74;;2026-01-19T08:58:55Z;
;;;;49.18045,-2.1036;;25.34;;2026-01-19T08:52:51Z;
;;;;49.19244,-2.10078;;25.06;;2026-01-19T09:00:11Z;
;;;;49.19031,-2.11092;;27.29;;2026-01-19T08:56:30Z;
;;;;49.19001,-2.11109;;26.51;;2026-01-19T08:53:17Z;
;;;;40.705548,-112.016435;;16.745000012715654;;2026-01-19T09:00:00Z;
;;;;49.2455395,16.5718145;;1.3310909162868152;;2025-06-23T20:00:00Z;
;;;;38.0778215,-122.5562582;;0.06666666766007741;;2024-11-23T00:00:00Z;
;;;;52.41201712084536,5.297443642682735;;48.61638929578993;;2026-01-19T09:00:00Z;
;;;;38.77841,-75.86964;;7.8;;2026-01-19T08:00:00Z;
;;;;29.76351,-95.27499;;5.08;;2024-10-18T14:05:53Z;
;;;;51.617327,-0.298775;;11.0;;2017-04-28T11:00:00Z;
;;;;30.379589,76.778328;;115.58;;2022-10-31T01:45:00Z;
;;;;46.0588,-118.3514;;10.0;;2026-01-19T08:00:00Z;
;;;;20.89992,-156.68121;;3.5;;2024-08-29T18:00:00Z;
;;;;20.90132,-156.68335;;9.6;;2024-06-19T23:00:00Z;
;;;;35.687222,139.5225;;7.0;;2026-01-18T13:00:00Z;
;;;;51.446046,-0.94838;;30.155654668807983;;2026-01-19T09:00:00Z;
;;;;20.89992,-156.68121;;7.5;;2024-07-11T16:00:00Z;
;;;;22.757506000000003,120.30568900000002;;32.0;;2026-01-19T09:00:00Z;
;;;;22.803699999999996,108.38290000000002;;15.0;;2021-08-09T11:00:00Z;
;;;;37.936667,140.895;;5.0;;2026-01-18T13:00:00Z;
;;;;44.92600000000001,10.3719;;8.0;;2020-05-05T23:00:00Z;
;;;;37.809,120.773;;4.0;;2019-11-07T13:00:00Z;
;;;;19.530094444444,-96.881880555556;;0.9;;2024-10-17T16:00:00Z;
;;;;49.2457,-2.1387;;35.7;;2026-01-19T08:54:12Z;
;;;;49.1888,-2.0399;;18.65;;2025-01-22T15:26:13Z;
;;;;49.1757,-2.0882;;25.08;;2026-01-19T08:59:46Z;
;;;;49.1877,-2.117;;28.11;;2026-01-19T09:04:25Z;
;;;;49.1906,-2.2004;;35.3;;2026-01-19T09:05:31Z;
;;;;49.2327,-2.2026;;25.44;;2026-01-19T08:56:12Z;
;;;;-7.763269,-79.152083;;0.0;;2025-12-04T00:05:00Z;
;;;;49.1928,-2.1086;;28.97;;2026-01-19T09:03:24Z;
;;;;29.660282523266797,-82.31616064037314;;3.071727232499556;;2025-06-12T13:00:00Z;
;;;;39.9459828,-84.16601;;6.75429166952769;;2026-01-19T09:00:00Z;
;;;;53.4445,-2.21758;;16.612337719310414;;2025-04-11T16:00:00Z;
;;;;49.1868,-2.1099;;22.93;;2026-01-19T08:59:24Z;
;;;;49.1788,-2.0937;;24.56;;2026-01-19T09:03:08Z;
;;;;49.186,-2.1142;;9.8;;2025-12-14T02:14:28Z;
;;;;49.2349,-2.1732;;38.49;;2026-01-19T08:51:19Z;
;;;;49.2197,-2.1145;;30.98;;2026-01-19T05:20:54Z;
;;;;49.1998,-2.0219;;2.39;;2026-01-19T09:06:35Z;
;;;;49.1804,-2.1159;;26.18;;2026-01-19T08:59:40Z;
;;;;49.1921,-2.0998;;27.82;;2026-01-19T09:06:06Z;
;;;;49.213,-2.1821;;35.26;;2026-01-19T09:06:35Z;
;;;;49.1762,-2.1108;;31.0;;2026-01-19T08:59:17Z;
;;;;49.1863,-2.1023;;2.66;;2026-01-04T02:55:35Z;
;;;;49.1832,-2.107;;15.34;;2026-01-17T19:06:31Z;
;;;;49.1966,-2.1585;;29.97;;2026-01-19T08:58:32Z;
;;;;49.1838,-2.0955;;25.69;;2026-01-19T08:53:20Z;
;;;;49.1945,-2.1282;;11.24;;2026-01-08T18:21:21Z;
;;;;49.2331,-2.0898;;28.31;;2026-01-19T08:59:55Z;
;;;;49.188,-2.1701;;23.5;;2026-01-19T08:50:07Z;
;;;;49.2071,-2.1735;;27.5;;2026-01-19T08:54:24Z;
;;;;49.1833,-2.1121;;26.61;;2026-01-19T09:04:42Z;
;;;;29.75842,-95.26696;;6.06;;2026-01-19T08:57:33Z;
;;;;22.5947,113.0828;;18.0;;2021-08-09T11:00:00Z;
;;;;32.6531,117.0566;;35.0;;2021-08-09T11:00:00Z;
;;;;48.6911125194678,21.2863884;;12.225;;2024-01-29T19:00:00Z;
;;;;38.92699999999999,27.8405;;10.365;;2022-10-28T02:00:00Z;
;;;;49.2141,-2.1413;;31.6;;2026-01-19T08:51:05Z;
;;;;49.1881,-2.2148;;32.07;;2026-01-19T09:06:22Z;
;;;;41.3325,123.75670000000001;;8.0;;2021-08-09T11:00:00Z;
;;;;43.3572219999458,19.349125000041326;;11.7414;;2026-01-19T06:00:00Z;
;;;;13.7201042,100.7807077;;27.7;;2026-01-19T08:00:00Z;
;;;;32.646944444444,-115.44611111111;;29.9700267;;2025-04-10T14:00:00Z;
;;;;47.200893,-123.108951;;23.1989999961853;;2026-01-19T00:00:00Z;
;;;;53.540174945601024,-113.5235011562625;;7.105499998728434;;2026-01-19T09:00:00Z;
;;;;49.54407799985856,8.465280999622944;;22.0;;2026-01-19T05:00:00Z;
;;;;39.2031,-122.0169;;11.0;;2019-04-18T18:00:00Z;
;;;;53.914719999999996,-122.74194;;0.0;;2026-01-09T21:00:00Z;
;;;;20.631268055556,-103.41643083333;;14.3055555555556;;2026-01-19T08:00:00Z;
;;;;51.59906,-0.095201;;3.69;;2020-12-01T00:00:00Z;
;;;;-34.3075,150.58;;0.2;;2022-11-22T23:00:00Z;
;;;;38.510696,-122.805991;;8.0;;2019-12-04T19:00:00Z;
;;;;-23.59184199,-46.6606875;;7.0;;2023-02-16T00:00:00Z;
;;;;36.34890000000001,113.235;;44.0;;2021-08-09T11:00:00Z;
;;;;12.7066,101.18055;;17.6;;2026-01-19T08:00:00Z;
;;;;36.663000000000004,117.04949999999998;;46.0;;2021-08-09T11:00:00Z;
;;;;40.5169,-88.9975;;4.2;;2026-01-19T08:00:00Z;
;;;;52.127898999912006,11.611463999600902;;9.03438;;2026-01-19T05:00:00Z;
;;;;61.599,-149.104;;4.0;;2018-07-12T17:00:00Z;
;;;;29.0531,111.66250000000001;;9.0;;2021-08-09T11:00:00Z;
;;;;20.005300000000002,110.283;;10.0;;2021-08-09T11:00:00Z;
;;;;30.1506,104.6356;;6.0;;2021-08-09T11:00:00Z;
;;;;35.02174,126.79041299999999;;9.0;;2026-01-19T08:00:00Z;
;;;;35.968522,129.359954;;32.0;;2026-01-19T08:00:00Z;
;;;;37.3367,126.7246;;28.0;;2024-07-11T16:00:00Z;
;;;;39.7169,117.3045;;19.0;;2021-08-09T11:00:00Z;
;;;;37.8911,114.3524;;63.0;;2021-08-09T11:00:00Z;
;;;;40.92460599999999,-75.06782499999998;;4.0;;2026-01-19T08:00:00Z;
;;;;27.9958,113.18169999999999;;12.0;;2021-08-09T11:00:00Z;
;;;;39.2133,117.1837;;27.0;;2021-08-09T11:00:00Z;
;;;;-41.111,146.836;;2.0;;2025-11-27T12:52:07Z;
;;;;48.3641660000587,2.2369439998826035;;21.8;;2026-01-19T05:00:00Z;
;;;;38.492799999999995,112.70029999999998;;28.0;;2021-08-09T11:00:00Z;
;;;;40.8197,-73.9481;;6.1;;2026-01-19T08:00:00Z;
;;;;33.007801,-80.964996;;5.0;;2019-03-06T18:00:00Z;
;;;;22.4853,113.4411;;6.0;;2021-08-09T11:00:00Z;
;;;;34.5814,105.7281;;58.0;;2020-12-31T16:00:00Z;
